InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,Year,Month,SalePrice
55376,42071.98611,United States,2222,US13,Male,11,44,10.5,139,0.3,2015,3,97.3
55376,42071.98611,United States,2212,US5,Male,11.5,44-45,11,139,0.2,2015,3,111.2
55377,42071.98611,Germany,2167,GER2,Male,12,45,11.5,159,0.2,2015,3,127.2
55378,42072.06611,Germany,2210,GER1,Male,10.5,43-44,10,199,0,2015,3,199
55379,42072.16611,Germany,2210,GER1,Female,9.5,40,7.5,189,0.5,2015,3,94.5
55380,42072.26611,United States,2212,US5,Male,9.5,42-43,9,149,0,2015,3,149
55380,42072.26611,United States,2187,US7,Male,9,42,8.5,199,0,2015,3,199
55380,42072.26611,United States,2196,US9,Female,10,40-41,8,199,0,2015,3,199
55381,42072.33611,United States,2155,US15,Female,7.5,38,5.5,199,0,2015,3,199
55382,42072.33611,Germany,2200,GER2,Female,7.5,38,5.5,149,0,2015,3,149
55383,42072.34611,Germany,2176,GER1,Female,8,38-39,6,199,0.1,2015,3,179.1
55383,42072.34611,Germany,2170,GER1,Male,11.5,44-45,11,169,0,2015,3,169
55384,42072.43611,United Kingdom,2238,UK3,Female,7.5,38,5.5,139,0.2,2015,3,111.2
55385,42072.43611,Germany,2198,GER1,Male,7,40,6.5,169,0,2015,3,169
55386,42072.55611,United States,2152,US15,Male,9.5,42-43,9,199,0,2015,3,199
55386,42072.55611,United States,2167,US3,Male,10,43,9.5,199,0,2015,3,199
55387,42072.62611,United States,2154,US15,Male,11,44,10.5,189,0,2015,3,189
55388,42072.66611,Germany,2154,GER1,Female,9,39-40,7,139,0,2015,3,139
55389,42072.66611,United States,2207,US12,Male,9.5,42-43,9,129,0.1,2015,3,116.1
55390,42072.75611,Germany,2180,GER3,Female,10.5,41,8.5,199,0.2,2015,3,159.2
55391,42072.84611,United States,2218,US12,Female,7.5,38,5.5,129,0,2015,3,129
55392,42072.98611,Germany,2148,GER1,Female,8.5,39,6.5,199,0.5,2015,3,99.5
55392,42072.98611,Germany,2236,GER1,Female,10.5,41,8.5,149,0,2015,3,149
55393,42073.26611,Canada,2232,CAN7,Female,10.5,41,8.5,169,0,2015,3,169
55394,42073.26611,United States,2196,US9,Female,10,40-41,8,199,0,2015,3,199
55395,42073.28611,United States,2191,US8,Female,8.5,39,6.5,149,0,2015,3,149
55396,42073.33611,Germany,2158,GER3,Male,10.5,43-44,10,149,0,2015,3,149
55397,42073.34611,Germany,2223,GER2,Male,9.5,42-43,9,169,0.1,2015,3,152.1
55398,42073.43611,Germany,2193,GER3,Male,10.5,43-44,10,129,0,2015,3,129
55399,42073.46611,United States,2219,US14,Male,11.5,44-45,11,149,0.1,2015,3,134.1
55400,42073.55611,United States,2189,US7,Male,10,43,9.5,139,0.2,2015,3,111.2
55401,42073.66611,United Kingdom,2171,UK1,Female,8.5,39,6.5,199,0,2015,3,199
55402,42073.67611,Germany,2187,GER2,Female,8.5,39,6.5,199,0,2015,3,199
55403,42073.84611,United States,2214,US13,Female,7.5,38,5.5,179,0,2015,3,179
55404,42073.87611,United States,2239,US12,Male,9,42,8.5,179,0,2015,3,179
55405,42073.98611,Germany,2198,GER1,Male,10.5,43-44,10,189,0,2015,3,189
55405,42073.98611,Germany,2200,GER1,Female,10.5,41,8.5,149,0.1,2015,3,134.1
55406,42073.99611,Germany,2195,GER1,Female,9,39-40,7,139,0.2,2015,3,111.2
55407,42074.19611,Canada,2241,CAN1,Female,8.5,39,6.5,179,0,2015,3,179
55408,42074.26611,United States,2166,US4,Female,9,39-40,7,159,0,2015,3,159
55408,42074.26611,United States,2173,US7,Female,9.5,40,7.5,199,0,2015,3,199
55408,42074.26611,United States,2168,US13,Male,11,44,10.5,139,0,2015,3,139
55409,42074.28611,United States,2195,US12,Male,14,47,13.5,129,0,2015,3,129
55410,42074.34611,Germany,2151,GER2,Male,11,44,10.5,129,0,2015,3,129
55411,42074.43611,Germany,2202,GER1,Male,14,47,13.5,199,0.2,2015,3,159.2
55411,42074.43611,Germany,2193,GER3,Male,10.5,43-44,10,129,0,2015,3,129
55412,42074.46611,United States,2149,US12,Male,9,42,8.5,169,0,2015,3,169
55413,42074.55611,United States,2177,US15,Female,9.5,40,7.5,179,0.3,2015,3,125.3
55414,42074.59611,United States,2201,US14,Male,9.5,42-43,9,199,0.1,2015,3,179.1
55415,42074.66611,United States,2211,US12,Male,9.5,42-43,9,139,0.1,2015,3,125.1
55416,42074.67611,United States,2151,US15,Male,9.5,42-43,9,129,0.1,2015,3,116.1
55417,42074.81611,Canada,2204,CAN6,Female,10,40-41,8,159,0,2015,3,159
55418,42074.84611,United States,2180,US2,Female,7.5,38,5.5,169,0.2,2015,3,135.2
55419,42074.86611,Canada,2232,CAN3,Male,8.5,41-42,8,169,0.2,2015,3,135.2
55420,42074.99611,Germany,2154,GER3,Female,9,39-40,7,169,0,2015,3,169
55421,42075.12611,Canada,2175,CAN5,Female,9.5,40,7.5,169,0.2,2015,3,135.2
55422,42075.41611,United States,2222,US8,Male,10,43,9.5,139,0,2015,3,139
55423,42075.46611,Germany,2211,GER2,Male,9.5,42-43,9,179,0,2015,3,179
55424,42075.66611,United States,2218,US12,Female,8.5,39,6.5,179,0.5,2015,3,89.5
55425,42075.67611,Germany,2215,GER1,Female,8.5,39,6.5,169,0,2015,3,169
55426,42075.81611,Canada,2197,CAN2,Female,10,40-41,8,169,0.5,2015,3,84.5
55427,42076.12611,Canada,2187,CAN5,Male,11,44,10.5,169,0,2015,3,169
55427,42076.12611,Canada,2157,CAN7,Male,9,42,8.5,179,0,2015,3,179
55427,42076.12611,Canada,2214,CAN6,Female,9.5,40,7.5,159,0.3,2015,3,111.3
55428,42076.15611,Germany,2168,GER2,Female,8,38-39,6,179,0,2015,3,179
55429,42076.41611,United States,2167,US3,Male,10,43,9.5,199,0,2015,3,199
55430,42076.59611,United States,2192,US14,Male,9.5,42-43,9,199,0,2015,3,199
55431,42076.60611,Germany,2237,GER2,Male,11.5,44-45,11,139,0.2,2015,3,111.2
55432,42076.60611,Germany,2200,GER1,Male,10.5,43-44,10,199,0,2015,3,199
55433,42076.86611,Canada,2190,CAN2,Male,6.5,39,6,199,0,2015,3,199
55434,42077.12611,Canada,2206,CAN6,Male,9.5,42-43,9,139,0.1,2015,3,125.1
55434,42077.12611,Canada,2217,CAN5,Female,9.5,40,7.5,199,0,2015,3,199
55435,42077.26611,United States,2178,US15,Female,9.5,40,7.5,149,0.1,2015,3,134.1
55436,42077.41611,United States,2189,US7,Male,10,43,9.5,139,0.2,2015,3,111.2
55437,42077.60611,Germany,2208,GER1,Male,9,42,8.5,129,0.1,2015,3,116.1
55438,42077.64611,Germany,2205,GER1,Female,9,39-40,7,199,0,2015,3,199
55439,42077.78611,Canada,2168,CAN7,Male,10,43,9.5,139,0,2015,3,139
55440,42077.84611,United States,2202,US1,Male,7.5,40-41,7,199,0.5,2015,3,99.5
55441,42077.91611,Germany,2234,GER1,Male,10,43,9.5,179,0,2015,3,179
55442,42077.97611,Germany,2193,GER1,Male,8.5,41-42,8,159,0.3,2015,3,111.3
55443,42078.15611,Germany,2170,GER1,Male,11.5,44-45,11,169,0,2015,3,169
55444,42078.30611,United Kingdom,2149,UK1,Female,8,38-39,6,149,0.1,2015,3,134.1
55445,42078.60611,Germany,2241,GER2,Female,8,38-39,6,129,0,2015,3,129
55445,42078.60611,Germany,2167,GER2,Male,12,45,11.5,159,0.2,2015,3,127.2
55446,42078.64611,Germany,2189,GER1,Female,9,39-40,7,179,0,2015,3,179
55447,42078.67611,Germany,2215,GER2,Male,10,43,9.5,179,0,2015,3,179
55447,42078.67611,Germany,2183,GER2,Male,9.5,42-43,9,139,0,2015,3,139
55447,42078.67611,Germany,2182,GER2,Female,9,39-40,7,199,0.5,2015,3,99.5
55448,42078.84611,United States,2149,US12,Male,9,42,8.5,169,0,2015,3,169
55449,42078.86611,Canada,2213,CAN5,Male,14,47,13.5,149,0.2,2015,3,119.2
55450,42078.91611,United States,2173,US12,Female,8,38-39,6,149,0.2,2015,3,119.2
55451,42078.97611,United States,2152,US15,Male,9.5,42-43,9,199,0,2015,3,199
55452,42079.07611,Canada,2241,CAN6,Male,9,42,8.5,199,0,2015,3,199
55453,42079.30611,Germany,2237,GER2,Male,11.5,44-45,11,139,0.2,2015,3,111.2
55454,42079.41611,United Kingdom,2224,UK5,Female,7.5,38,5.5,199,0.2,2015,3,159.2
55455,42079.41611,Germany,2200,GER1,Female,7,37-38,5,189,0.1,2015,3,170.1
55456,42079.59611,Germany,2219,GER1,Male,9.5,42-43,9,159,0,2015,3,159
55457,42079.67611,United States,2238,US15,Female,7.5,38,5.5,179,0,2015,3,179
55458,42079.84611,Germany,2150,GER2,Female,9.5,40,7.5,139,0.2,2015,3,111.2
55459,42079.88611,United Kingdom,2205,UK3,Male,9.5,42-43,9,199,0.2,2015,3,159.2
55460,42080.07611,Canada,2147,CAN3,Male,9.5,42-43,9,199,0.3,2015,3,139.3
55461,42080.15611,United States,2149,US11,Male,9.5,42-43,9,149,0.1,2015,3,134.1
55462,42080.30611,Germany,2208,GER1,Male,9,42,8.5,129,0.1,2015,3,116.1
55463,42080.41611,Germany,2205,GER1,Female,7,37-38,5,199,0,2015,3,199
55463,42080.41611,Germany,2187,GER2,Male,8,41,7.5,169,0,2015,3,169
55464,42080.59611,Germany,2158,GER3,Male,9.5,42-43,9,139,0.5,2015,3,69.5
55465,42080.65611,Canada,2185,CAN6,Female,10.5,41,8.5,159,0.2,2015,3,127.2
55466,42080.67611,Germany,2160,GER2,Female,8,38-39,6,199,0.1,2015,3,179.1
55466,42080.67611,Germany,2199,GER2,Female,9,39-40,7,189,0.5,2015,3,94.5
55467,42080.74611,Germany,2236,GER1,Male,11.5,44-45,11,169,0,2015,3,169
55468,42080.88611,United Kingdom,2188,UK4,Male,10.5,43-44,10,189,0,2015,3,189
55469,42080.97611,Germany,2193,GER1,Male,9,42,8.5,199,0.2,2015,3,159.2
55470,42081.18611,Germany,2176,GER1,Male,8,41,7.5,139,0,2015,3,139
55471,42081.19611,United States,2210,US15,Female,9,39-40,7,189,0,2015,3,189
55472,42081.33611,Germany,2218,GER3,Female,8.5,39,6.5,159,0.3,2015,3,111.3
55473,42081.37611,Canada,2217,CAN3,Female,9,39-40,7,199,0.5,2015,3,99.5
55474,42081.37611,United States,2242,US14,Female,8,38-39,6,189,0,2015,3,189
55475,42081.41611,Germany,2224,GER2,Female,7,37-38,5,169,0.1,2015,3,152.1
55475,42081.41611,Germany,2189,GER2,Male,11,44,10.5,179,0,2015,3,179
55476,42081.57611,Canada,2150,CAN2,Male,9,42,8.5,139,0,2015,3,139
55477,42081.59611,Germany,2215,GER2,Male,10,43,9.5,179,0,2015,3,179
55478,42081.65611,United States,2189,US14,Male,10.5,43-44,10,199,0.1,2015,3,179.1
55479,42081.73611,United Kingdom,2225,UK1,Male,10.5,43-44,10,159,0.2,2015,3,127.2
55480,42081.81611,Canada,2241,CAN6,Male,9,42,8.5,199,0,2015,3,199
55481,42081.84611,United Kingdom,2188,UK3,Female,7.5,38,5.5,189,0.1,2015,3,170.1
55482,42081.97611,Germany,2231,GER1,Female,9.5,40,7.5,199,0,2015,3,199
55483,42081.97611,United States,2191,US10,Female,8,38-39,6,199,0.5,2015,3,99.5
55484,42082.15611,United States,2177,US8,Male,10,43,9.5,129,0.5,2015,3,64.5
55485,42082.33611,United States,2223,US15,Male,9.5,42-43,9,149,0,2015,3,149
55486,42082.37611,United States,2220,US14,Female,8,38-39,6,179,0,2015,3,179
55486,42082.37611,United States,2201,US14,Male,9.5,42-43,9,199,0.1,2015,3,179.1
55486,42082.37611,United States,2148,US14,Male,9,42,8.5,139,0.1,2015,3,125.1
55486,42082.37611,United States,2183,US14,Male,13,46,12.5,139,0.3,2015,3,97.3
55487,42082.57611,Canada,2168,CAN7,Male,10,43,9.5,139,0,2015,3,139
55488,42082.73611,United Kingdom,2205,UK3,Male,9.5,42-43,9,199,0.2,2015,3,159.2
55489,42082.84611,United Kingdom,2233,UK1,Female,7.5,38,5.5,129,0.5,2015,3,64.5
55490,42082.94611,United States,2236,US12,Male,10.5,43-44,10,149,0,2015,3,149
55491,42082.97611,Germany,2188,GER1,Female,9.5,40,7.5,189,0,2015,3,189
55492,42083.43611,United States,2226,US6,Male,10.5,43-44,10,199,0.3,2015,3,139.3
55493,42083.57611,Canada,2155,CAN1,Male,9,42,8.5,159,0,2015,3,159
55494,42083.77611,Canada,2196,CAN1,Male,11,44,10.5,159,0,2015,3,159
55495,42083.95611,Germany,2225,GER2,Male,9.5,42-43,9,149,0,2015,3,149
55496,42084.43611,United States,2226,US6,Male,10.5,43-44,10,199,0.3,2015,3,139.3
55497,42084.44611,United States,2163,US14,Female,6.5,37,4.5,199,0.5,2015,3,99.5
55498,42084.53611,Canada,2184,CAN1,Male,9.5,42-43,9,159,0,2015,3,159
55499,42084.55611,United Kingdom,2231,UK3,Female,8.5,39,6.5,169,0,2015,3,169
55500,42084.57611,United States,2236,US8,Male,8.5,41-42,8,169,0,2015,3,169
55501,42084.82611,Canada,2185,CAN5,Male,8.5,41-42,8,169,0,2015,3,169
55502,42084.94611,United States,2181,US12,Male,8,41,7.5,139,0.3,2015,3,97.3
55503,42084.96611,United States,2166,US15,Female,8,38-39,6,179,0,2015,3,179
55504,42085.06611,United Kingdom,2205,UK3,Male,9.5,42-43,9,199,0.2,2015,3,159.2
55505,42085.13611,United Kingdom,2238,UK4,Male,7,40,6.5,179,0.3,2015,3,125.3
55506,42085.21611,Germany,2203,GER2,Male,11.5,44-45,11,139,0,2015,3,139
55507,42085.23611,Canada,2203,CAN6,Female,9.5,40,7.5,169,0,2015,3,169
55508,42085.33611,United States,2226,US13,Male,9.5,42-43,9,149,0.2,2015,3,119.2
55509,42085.41611,Germany,2203,GER2,Male,11,44,10.5,159,0,2015,3,159
55510,42085.43611,United States,2149,US11,Male,9.5,42-43,9,149,0.1,2015,3,134.1
55510,42085.43611,United States,2172,US1,Male,11,44,10.5,139,0,2015,3,139
55511,42085.54611,Germany,2154,GER1,Female,8,38-39,6,179,0.3,2015,3,125.3
55511,42085.54611,Germany,2211,GER2,Male,10.5,43-44,10,179,0.5,2015,3,89.5
55512,42085.55611,United Kingdom,2231,UK3,Female,8.5,39,6.5,169,0,2015,3,169
55513,42085.55611,United States,2236,US12,Male,10.5,43-44,10,149,0,2015,3,149
55514,42085.57611,Canada,2222,CAN1,Female,10.5,41,8.5,199,0,2015,3,199
55515,42085.80611,United States,2227,US7,Female,8,38-39,6,149,0,2015,3,149
55516,42085.95611,Germany,2158,GER3,Male,9.5,42-43,9,139,0.5,2015,3,69.5
55517,42085.96611,United States,2198,US15,Female,8,38-39,6,129,0,2015,3,129
55518,42086.21611,Germany,2193,GER1,Male,9,42,8.5,199,0.2,2015,3,159.2
55519,42086.30611,United States,2208,US10,Female,8,38-39,6,129,0,2015,3,129
55520,42086.41611,Germany,2211,GER1,Male,10,43,9.5,139,0,2015,3,139
55521,42086.44611,Canada,2184,CAN1,Male,9.5,42-43,9,159,0,2015,3,159
55522,42086.54611,Germany,2206,GER1,Male,10.5,43-44,10,139,0.3,2015,3,97.3
55523,42086.57611,United States,2173,US9,Male,7.5,40-41,7,129,0,2015,3,129
55524,42086.73611,United States,2168,US14,Female,7.5,38,5.5,189,0.1,2015,3,170.1
55525,42086.80611,United States,2176,US5,Female,8,38-39,6,129,0,2015,3,129
55526,42086.89611,Germany,2206,GER2,Female,8.5,39,6.5,139,0.3,2015,3,97.3
55527,42086.92611,Germany,2201,GER2,Male,11,44,10.5,169,0.1,2015,3,152.1
55528,42087.30611,Germany,2203,GER2,Male,11,44,10.5,159,0,2015,3,159
55529,42087.41611,Germany,2203,GER2,Male,11.5,44-45,11,139,0,2015,3,139
55530,42087.44611,United States,2221,US12,Male,9.5,42-43,9,199,0,2015,3,199
55531,42087.48611,Canada,2220,CAN1,Male,8,41,7.5,169,0,2015,3,169
55532,42087.54611,Germany,2236,GER1,Male,11.5,44-45,11,169,0,2015,3,169
55533,42087.69611,United States,2226,US13,Male,9.5,42-43,9,149,0.2,2015,3,119.2
55534,42087.70611,Canada,2166,CAN6,Female,10.5,41,8.5,129,0.5,2015,3,64.5
55535,42087.73611,Germany,2148,GER2,Male,8,41,7.5,149,0,2015,3,149
55536,42087.80611,United States,2207,US1,Female,8,38-39,6,199,0.1,2015,3,179.1
55537,42087.83611,United States,2214,US13,Female,7.5,38,5.5,179,0,2015,3,179
55538,42087.87611,United States,2189,US5,Female,8,38-39,6,139,0,2015,3,139
55538,42087.87611,United States,2173,US15,Female,7.5,38,5.5,159,0.5,2015,3,79.5
55539,42087.90611,Germany,2185,GER2,Male,6.5,39,6,199,0.2,2015,3,159.2
55540,42087.92611,Canada,2169,CAN3,Female,8,38-39,6,169,0.3,2015,3,118.3
55541,42088.30611,Germany,2211,GER1,Male,10,43,9.5,139,0,2015,3,139
55542,42088.31611,United Kingdom,2225,UK5,Male,11,44,10.5,149,0,2015,3,149
55543,42088.44611,United States,2216,US15,Female,8.5,39,6.5,199,0.1,2015,3,179.1
55544,42088.48611,United States,2214,US14,Female,6.5,37,4.5,149,0,2015,3,149
55545,42088.48611,Canada,2176,CAN6,Male,9,42,8.5,129,0.1,2015,3,116.1
55546,42088.69611,Germany,2199,GER2,Female,8.5,39,6.5,199,0,2015,3,199
55547,42088.73611,United States,2231,US14,Female,7.5,38,5.5,199,0,2015,3,199
55548,42088.81611,United Kingdom,2215,UK2,Female,4.5,35,2.5,159,0,2015,3,159
55549,42088.87611,United States,2150,US3,Female,8,38-39,6,169,0,2015,3,169
55550,42088.90611,Germany,2167,GER2,Male,10,43,9.5,159,0,2015,3,159
55551,42089.03611,Canada,2205,CAN6,Female,10.5,41,8.5,169,0,2015,3,169
55552,42089.31611,United States,2228,US8,Female,9,39-40,7,179,0.3,2015,3,125.3
55553,42089.32611,Canada,2226,CAN6,Male,12,45,11.5,129,0.2,2015,3,103.2
55554,42089.37611,United Kingdom,2165,UK4,Male,8.5,41-42,8,179,0,2015,3,179
55555,42089.38611,Canada,2185,CAN5,Male,8.5,41-42,8,169,0,2015,3,169
55556,42089.44611,United States,2239,US12,Male,9.5,42-43,9,159,0,2015,3,159
55557,42089.74611,Canada,2238,CAN3,Female,8.5,39,6.5,169,0.3,2015,3,118.3
55558,42089.90611,United States,2212,US15,Female,8,38-39,6,149,0,2015,3,149
55559,42089.92611,Germany,2200,GER1,Female,7,37-38,5,189,0.1,2015,3,170.1
55560,42089.98611,United States,2232,US7,Female,9,39-40,7,199,0,2015,3,199
55561,42090.14611,Canada,2151,CAN6,Male,13,46,12.5,139,0.5,2015,3,69.5
55562,42090.74611,Canada,2179,CAN6,Female,8.5,39,6.5,169,0,2015,3,169
55563,42090.76611,Canada,2158,CAN5,Male,9.5,42-43,9,159,0.1,2015,3,143.1
55564,42090.81611,Germany,2166,GER1,Male,10.5,43-44,10,149,0.5,2015,3,74.5
55565,42090.90611,Germany,2206,GER1,Male,10.5,43-44,10,139,0.3,2015,3,97.3
55566,42090.98611,United States,2163,US14,Male,10,43,9.5,139,0,2015,3,139
55567,42091.24611,United States,2173,US15,Female,7.5,38,5.5,159,0.5,2015,3,79.5
55568,42091.25611,Germany,2237,GER1,Female,8.5,39,6.5,159,0,2015,3,159
55569,42091.32611,Canada,2150,CAN2,Male,9,42,8.5,139,0,2015,3,139
55570,42091.53611,United States,2205,US14,Female,7.5,38,5.5,149,0.2,2015,3,119.2
55571,42091.69611,United States,2223,US13,Male,9.5,42-43,9,129,0,2015,3,129
55572,42091.98611,United States,2184,US12,Female,9,39-40,7,159,0.2,2015,3,127.2
55573,42092.17611,United States,2240,US14,Male,10,43,9.5,179,0,2015,3,179
55574,42092.21611,United States,2180,US1,Male,9.5,42-43,9,139,0.5,2015,3,69.5
55575,42092.24611,Germany,2225,GER2,Male,9.5,42-43,9,149,0,2015,3,149
55576,42092.53611,United States,2187,US5,Female,7.5,38,5.5,149,0.5,2015,3,74.5
55577,42092.75611,United States,2179,US13,Female,9.5,40,7.5,179,0,2015,3,179
55578,42093.17611,United States,2213,US4,Male,8.5,41-42,8,169,0,2015,3,169
55579,42093.21611,United States,2173,US10,Male,10,43,9.5,129,0,2015,3,129
55580,42093.25611,United States,2234,US15,Male,9.5,42-43,9,159,0.5,2015,3,79.5
55581,42093.59611,United States,2224,US2,Male,9,42,8.5,129,0,2015,3,129
55582,42093.68611,United Kingdom,2238,UK1,Female,8,38-39,6,139,0,2015,3,139
55583,42093.68611,Germany,2196,GER1,Female,8,38-39,6,199,0.2,2015,3,159.2
55584,42093.69611,United States,2164,US15,Female,8.5,39,6.5,199,0,2015,3,199
55585,42093.73611,Canada,2204,CAN1,Male,9,42,8.5,199,0,2015,3,199
55586,42093.75611,United States,2163,US14,Male,10,43,9.5,139,0,2015,3,139
55587,42093.77611,United States,2221,US12,Male,9.5,42-43,9,199,0,2015,3,199
55588,42093.87611,Germany,2181,GER2,Male,11,44,10.5,139,0.5,2015,3,69.5
55589,42093.92611,United States,2207,US7,Male,10,43,9.5,199,0.3,2015,3,139.3
55590,42093.92611,Germany,2167,GER1,Female,6.5,37,4.5,189,0.5,2015,3,94.5
55591,42093.96611,United Kingdom,2183,UK5,Male,10,43,9.5,189,0,2015,3,189
55592,42094.26611,Germany,2166,GER1,Male,10.5,43-44,10,149,0.5,2015,3,74.5
55593,42094.40611,United States,2234,US12,Female,9.5,40,7.5,159,0,2015,3,159
55594,42094.58611,Canada,2157,CAN6,Female,9,39-40,7,159,0,2015,3,159
55595,42094.59611,United States,2220,US3,Male,9.5,42-43,9,149,0,2015,3,149
55596,42094.63611,Canada,2217,CAN3,Male,9,42,8.5,199,0,2015,3,199
55597,42094.68611,United Kingdom,2238,UK1,Female,8,38-39,6,139,0,2015,3,139
55598,42094.68611,Germany,2203,GER2,Female,8,38-39,6,129,0.5,2015,3,64.5
55599,42094.87611,Germany,2205,GER1,Male,10.5,43-44,10,189,0.5,2015,3,94.5
55600,42094.92611,Germany,2204,GER1,Female,9.5,40,7.5,139,0,2015,3,139
55601,42094.92611,Canada,2231,CAN6,Male,9,42,8.5,169,0,2015,3,169
55602,42094.96611,United States,2183,US14,Female,9,39-40,7,139,0,2015,3,139
55603,42095.30611,Germany,2236,GER2,Female,8,38-39,6,199,0,2015,4,199
55604,42095.40611,United States,2190,US9,Male,9,42,8.5,129,0,2015,4,129
55605,42095.44611,Canada,2148,CAN3,Female,10.5,41,8.5,139,0,2015,4,139
55606,42095.54611,Germany,2188,GER1,Male,8,41,7.5,199,0,2015,4,199
55607,42095.56611,Canada,2156,CAN2,Male,9.5,42-43,9,149,0,2015,4,149
55608,42095.56611,United States,2203,US13,Female,6,36-37,4,149,0,2015,4,149
55609,42095.58611,Canada,2159,CAN7,Female,9,39-40,7,169,0,2015,4,169
55610,42095.61611,United States,2215,US4,Male,10.5,43-44,10,199,0,2015,4,199
55611,42095.68611,Germany,2167,GER2,Male,10,43,9.5,159,0,2015,4,159
55612,42095.69611,Canada,2185,CAN5,Male,8.5,41-42,8,169,0,2015,4,169
55612,42095.69611,Canada,2204,CAN5,Female,9,39-40,7,139,0,2015,4,139
55613,42096.08611,Canada,2220,CAN6,Male,9.5,42-43,9,169,0,2015,4,169
55614,42096.08611,United Kingdom,2221,UK2,Female,6.5,37,4.5,159,0.2,2015,4,127.2
55615,42096.29611,United Kingdom,2237,UK2,Female,9.5,40,7.5,179,0.1,2015,4,161.1
55616,42096.30611,Germany,2196,GER2,Female,8,38-39,6,169,0.5,2015,4,84.5
55617,42096.40611,United States,2190,US13,Female,9.5,40,7.5,169,0.3,2015,4,118.3
55618,42096.43611,Germany,2236,GER1,Male,9.5,42-43,9,169,0.3,2015,4,118.3
55619,42096.44611,Canada,2148,CAN3,Female,10.5,41,8.5,139,0,2015,4,139
55620,42096.55611,Germany,2181,GER2,Male,11,44,10.5,139,0.5,2015,4,69.5
55621,42096.58611,United States,2189,US14,Male,10,43,9.5,129,0,2015,4,129
55622,42096.63611,United Kingdom,2150,UK3,Female,6.5,37,4.5,179,0,2015,4,179
55623,42096.92611,Canada,2190,CAN3,Female,8.5,39,6.5,139,0.3,2015,4,97.3
55624,42096.93611,Canada,2221,CAN5,Male,9,42,8.5,199,0,2015,4,199
55625,42097.08611,United Kingdom,2221,UK2,Female,6.5,37,4.5,159,0.2,2015,4,127.2
55626,42097.28611,United States,2222,US6,Male,11,44,10.5,129,0,2015,4,129
55627,42097.29611,United Kingdom,2239,UK5,Female,9.5,40,7.5,199,0,2015,4,199
55628,42097.43611,Germany,2169,GER2,Male,9,42,8.5,149,0.1,2015,4,134.1
55629,42097.51611,Germany,2179,GER2,Male,10.5,43-44,10,189,0,2015,4,189
55630,42097.56611,Canada,2202,CAN6,Male,10.5,43-44,10,179,0.2,2015,4,143.2
55630,42097.56611,Canada,2191,CAN6,Male,9.5,42-43,9,199,0,2015,4,199
55631,42097.68611,United Kingdom,2185,UK3,Male,9,42,8.5,149,0.3,2015,4,104.3
55632,42097.75611,Canada,2237,CAN7,Female,9.5,40,7.5,129,0.3,2015,4,90.3
55633,42098.03611,United States,2195,US6,Male,12,45,11.5,169,0.1,2015,4,152.1
55634,42098.05611,United States,2177,US5,Male,10,43,9.5,199,0.2,2015,4,159.2
55635,42098.08611,Canada,2234,CAN2,Male,9,42,8.5,149,0,2015,4,149
55636,42098.12611,United States,2239,US12,Female,8.5,39,6.5,139,0,2015,4,139
55637,42098.29611,United Kingdom,2231,UK2,Female,9.5,40,7.5,199,0,2015,4,199
55638,42098.63611,Germany,2151,GER2,Male,10.5,43-44,10,139,0,2015,4,139
55639,42098.66611,Germany,2216,GER1,Female,10,40-41,8,179,0.5,2015,4,89.5
55640,42098.75611,Canada,2228,CAN6,Female,6,36-37,4,169,0.2,2015,4,135.2
55641,42098.78611,Canada,2180,CAN2,Male,10.5,43-44,10,149,0,2015,4,149
55642,42098.92611,Canada,2238,CAN3,Female,8.5,39,6.5,169,0.3,2015,4,118.3
55643,42099.03611,United States,2232,US7,Female,9,39-40,7,199,0,2015,4,199
55644,42099.08611,United States,2177,US10,Male,10,43,9.5,129,0,2015,4,129
55645,42099.12611,United States,2214,US4,Female,8.5,39,6.5,149,0,2015,4,149
55646,42099.14611,United States,2193,US4,Male,10.5,43-44,10,169,0.3,2015,4,118.3
55647,42099.48611,United Kingdom,2158,UK5,Male,10,43,9.5,169,0,2015,4,169
55648,42099.49611,United States,2184,US5,Male,9,42,8.5,139,0,2015,4,139
55649,42099.68611,Germany,2150,GER1,Female,9,39-40,7,179,0,2015,4,179
55650,42099.68611,United States,2149,US1,Female,7.5,38,5.5,179,0,2015,4,179
55651,42099.68611,Germany,2211,GER3,Female,6.5,37,4.5,129,0,2015,4,129
55652,42099.75611,Canada,2218,CAN5,Female,6,36-37,4,179,0,2015,4,179
55653,42099.75611,United Kingdom,2181,UK2,Male,11,44,10.5,189,0.2,2015,4,151.2
55654,42100.05611,United States,2201,US10,Female,10.5,41,8.5,179,0,2015,4,179
55655,42100.08611,United States,2148,US13,Female,9.5,40,7.5,129,0.2,2015,4,103.2
55656,42100.14611,United Kingdom,2225,UK5,Male,11,44,10.5,149,0,2015,4,149
55657,42100.22611,United States,2183,US12,Male,10,43,9.5,169,0,2015,4,169
55658,42100.31611,Canada,2230,CAN7,Female,10.5,41,8.5,169,0,2015,4,169
55659,42100.48611,United States,2214,US13,Male,10,43,9.5,139,0,2015,4,139
55660,42100.48611,United Kingdom,2185,UK3,Male,9,42,8.5,149,0.3,2015,4,104.3
55661,42100.49611,United States,2226,US5,Female,10,40-41,8,129,0.2,2015,4,103.2
